,Songshan Airport ,Zhongshan Junior High School,Nanjing Fuxing,Zhongxiao Fuxing,Daan,Technology Building,Liuzhangli,Linguang,Xinhai,Wanfang Hospital,Wanfang Community,Muzha,Taipei Zoo,Dazhi ,Jiannan Rd. ,Xihu,Gangqian ,Wende ,Neihu ,Dahu Park ,Huzhou ,Donghu ,Nangang Software Park,Taipei Nangang Exhibition Center,Xiaobitan,Xindian ,Xindian District Office,Qizhang,Dapinglin ,Jingmei ,Wanlong ,Gongguan ,Taipower Building ,Guting ,Chiang Kai-Shek Memorial Hall,Xiaonanmen,Dingxi ,Yongan Market ,Jingan ,Nanshijiao ,NTU Hospital,Taipei Main Station,Zhongshan ,Shuanglian ,Minquan W. Rd. ,Yuanshan,Jiantan ,Shilin ,Zhishan,Mingde,Shipai,Qilian,Qiyan ,Beitou,Xinbeitou,Fuxinggang,Zhongyi ,Guandu ,Zhuwei,Hongshulin,Tamsui,Dingpu,Yongning,Tucheng,Haishan,Far Eastern Hospital,Fuzhong,"Banqiao
(Bannan Line)",Xinpu,Jiangzicui,Longshan Temple,Ximen ,Shandao Temple,Zhongxiao Xinsheng,Zhongxiao Dunhua,Sun Yat-Sen Memorial Hall,Taipei City Hall,Yongchun,Houshanpi,Kunyang,Nangang ,Xiangshan,Taipei 101/World Trade Center,Xinyi Anhe,Daan Park,Beimen,Songjiang Nanjing,Taipei Arena,Nanjing Sanmin,Songshan,Fu Jen University,Xinzhuang,Touqianzhuang ,Xianse Temple ,Sanchong ,Cailiao ,Taipei Bridge ,Daqiaotou,Zhongshan Elementary School,Xingtian Temple ,Dongmen ,Luzhou ,Sanmin Senior High School ,St. Ignatius High School,Sanhe Junior High School ,Sanchong Elementary School ,Huilong ,Danfeng,Shisizhang,Xiulang Bridge,Jingping,Zhonghe,Qiaohe,Zhongyuan,Banxin,"Banqiao
(Circular Line)",Xingpu Minsheng,Xingfu,New Taipei Industrial Park
2022/10/11,3834    ,12480    ,36821    ,32442    ,22580    ,12909    ,9960    ,3533    ,3039    ,12865    ,1854    ,4234    ,4582    ,9182    ,9079    ,15449    ,16170    ,5212    ,8298    ,2578    ,7972    ,7864    ,5604    ,24435    ,2908    ,9926    ,11826    ,13938    ,21555    ,15488    ,8861    ,24968    ,14262    ,27960    ,21448    ,10268    ,31485    ,23208    ,22994    ,18357    ,21337    ,98066    ,35779    ,18160    ,20442    ,23104    ,23645    ,23745    ,19759    ,12097    ,28732    ,6175    ,7310    ,17526    ,4132    ,3291    ,3056    ,13357    ,8950    ,11752    ,27781    ,8032    ,11781    ,7403    ,20699    ,21858    ,22212    ,32830    ,34580    ,23921    ,21328    ,44672    ,20792    ,27281    ,26849    ,16359    ,51192    ,18513    ,13970    ,12819    ,17650    ,11079    ,21593    ,16967    ,6474    ,9991    ,33324    ,19040    ,21703    ,19697    ,14349    ,10277    ,5383    ,4448    ,6444    ,9605    ,8919    ,10468    ,14890    ,24479    ,19390    ,12390    ,11630    ,11669    ,11040    ,10691    ,10587    ,8460    ,1476    ,2375    ,3813    ,4344    ,2388    ,3310    ,2878    ,7139    ,2276    ,3674    ,4804    
2022/10/12,3820    ,13063    ,38462    ,34767    ,23196    ,13204    ,10088    ,3686    ,3137    ,13071    ,1877    ,4215    ,4163    ,9014    ,9451    ,16054    ,16871    ,5415    ,8653    ,2812    ,8215    ,7930    ,6090    ,27888    ,3178    ,10209    ,12190    ,14368    ,22056    ,15613    ,8991    ,24053    ,14622    ,28964    ,22114    ,10460    ,32433    ,23778    ,23602    ,18533    ,21558    ,98652    ,38131    ,18671    ,20787    ,23049    ,23258    ,23659    ,20132    ,12086    ,28923    ,6447    ,7508    ,17735    ,4233    ,3302    ,3080    ,13399    ,8787    ,11703    ,27192    ,8046    ,11954    ,7363    ,21078    ,22434    ,22699    ,34224    ,35299    ,24728    ,21721    ,46941    ,22355    ,28941    ,28707    ,17660    ,53833    ,18867    ,14496    ,13045    ,18766    ,11162    ,23771    ,17444    ,6551    ,10237    ,34704    ,20704    ,22421    ,20452    ,13545    ,11436    ,5664    ,4532    ,6626    ,9855    ,9051    ,10732    ,15322    ,25535    ,20248    ,12709    ,11696    ,12143    ,11426    ,10992    ,10640    ,8347    ,1520    ,2423    ,4032    ,4533    ,2383    ,3555    ,3044    ,7265    ,2245    ,3798    ,4894    
2022/10/13,3861    ,12875    ,39023    ,34904    ,23329    ,13503    ,10105    ,3678    ,2982    ,13160    ,1879    ,4066    ,4282    ,9160    ,9948    ,16078    ,16885    ,5346    ,8829    ,2854    ,8437    ,8147    ,5968    ,32288    ,3126    ,9948    ,12078    ,14253    ,21926    ,15415    ,8859    ,23677    ,14597    ,28800    ,22198    ,10633    ,32336    ,23783    ,23430    ,18401    ,20722    ,102022    ,38573    ,18431    ,21066    ,23315    ,23346    ,23867    ,20752    ,11874    ,28223    ,6289    ,7426    ,17981    ,4352    ,3463    ,3044    ,13138    ,8804    ,11638    ,27319    ,8002    ,11878    ,7372    ,21099    ,22022    ,22809    ,35164    ,35053    ,24705    ,21898    ,47245    ,22160    ,29029    ,28841    ,18146    ,57738    ,19031    ,14728    ,13582    ,19953    ,11266    ,26506    ,17768    ,6576    ,10178    ,34862    ,20221    ,22558    ,20256    ,13946    ,10459    ,5611    ,4487    ,6547    ,9934    ,9150    ,10786    ,15520    ,25158    ,20188    ,12776    ,12094    ,11891    ,11472    ,11063    ,10416    ,8470    ,1501    ,2484    ,3876    ,4453    ,2387    ,3488    ,2945    ,7502    ,2315    ,3689    ,4743    
2022/10/14,4446    ,13545    ,41330    ,40756    ,24796    ,13803    ,10846    ,3743    ,3063    ,13014    ,1886    ,4227    ,4452    ,9254    ,11288    ,15847    ,17109    ,5690    ,9285    ,2826    ,8605    ,8596    ,6141    ,32868    ,3524    ,10616    ,12887    ,15200    ,23599    ,16506    ,9562    ,27413    ,15879    ,30649    ,23323    ,10725    ,33944    ,25070    ,24091    ,18996    ,21574    ,135095    ,47199    ,20454    ,21894    ,25960    ,25641    ,25346    ,22380    ,12009    ,28982    ,6607    ,7734    ,18527    ,4690    ,3550    ,3051    ,13278    ,9254    ,11944    ,28532    ,8495    ,13333    ,7813    ,22034    ,22214    ,25287    ,40049    ,36681    ,25869    ,25092    ,58311    ,23355    ,31758    ,33911    ,20923    ,66141    ,20396    ,15647    ,13949    ,22847    ,11897    ,29686    ,19593    ,7500    ,11320    ,37198    ,21276    ,23508    ,22175    ,13635    ,11118    ,5895    ,4717    ,6992    ,10183    ,9643    ,11425    ,16412    ,27612    ,22308    ,13109    ,12462    ,12481    ,11801    ,11453    ,10758    ,8713    ,1528    ,2557    ,4113    ,4870    ,2571    ,3599    ,3197    ,9651    ,2541    ,4209    ,5128    
2022/10/15,2512    ,7966    ,21999    ,37543    ,14747    ,8875    ,6760    ,2973    ,1847    ,7342    ,1236    ,2336    ,3399    ,6200    ,9926    ,4438    ,5885    ,3355    ,6883    ,1985    ,4660    ,5139    ,2196    ,20571    ,3376    ,8157    ,8630    ,10726    ,14896    ,12024    ,7212    ,21883    ,13211    ,22497    ,14816    ,3808    ,24678    ,17544    ,16719    ,14327    ,8969    ,121259    ,49214    ,14849    ,13875    ,31160    ,18495    ,19075    ,15778    ,7555    ,18429    ,4983    ,4470    ,11977    ,4763    ,2554    ,1372    ,6815    ,6318    ,7987    ,20545    ,5147    ,8555    ,5066    ,14074    ,13325    ,20755    ,33643    ,25207    ,18439    ,21076    ,58982    ,16788    ,26040    ,27609    ,16920    ,53261    ,13477    ,11548    ,8804    ,16545    ,6315    ,25153    ,12206    ,8009    ,8394    ,17421    ,13583    ,12551    ,11970    ,7361    ,7520    ,4180    ,2001    ,5333    ,7710    ,8227    ,9033    ,11863    ,16359    ,18173    ,8592    ,7993    ,8842    ,8004    ,8341    ,6185    ,5782    ,877    ,2232    ,2802    ,3952    ,1161    ,1314    ,2011    ,7720    ,1809    ,2932    ,2989    
2022/10/16,2239    ,5074    ,13632    ,23565    ,8523    ,6514    ,4674    ,2436    ,1393    ,5794    ,863    ,1604    ,2256    ,4013    ,6154    ,3013    ,4172    ,2473    ,4779    ,1375    ,3562    ,3432    ,1798    ,15436    ,2974    ,6518    ,6908    ,8431    ,11051    ,9917    ,5976    ,18559    ,9591    ,15365    ,10263    ,2927    ,18033    ,12649    ,12391    ,10188    ,5838    ,99547    ,31769    ,8419    ,10742    ,18554    ,11940    ,13547    ,11240    ,5028    ,12898    ,3590    ,2989    ,9390    ,3309    ,1878    ,1058    ,4786    ,4609    ,6296    ,16774    ,4120    ,6174    ,3604    ,10224    ,8422    ,13850    ,24556    ,17803    ,12545    ,13940    ,37710    ,8606    ,16593    ,16079    ,10129    ,36194    ,9743    ,7980    ,5214    ,12032    ,4057    ,14439    ,7619    ,5548    ,6104    ,11393    ,8195    ,8413    ,8069    ,5265    ,4948    ,2771    ,1379    ,3704    ,4710    ,5583    ,5770    ,8081    ,10547    ,12048    ,6236    ,5285    ,6427    ,5805    ,6031    ,4430    ,4152    ,705    ,1797    ,2361    ,3053    ,807    ,992    ,1392    ,5868    ,1165    ,2247    ,2412    
2022/10/17,3855    ,12527    ,37503    ,31934    ,22487    ,12980    ,10050    ,3594    ,2934    ,12529    ,1780    ,4055    ,3636    ,8905    ,9089    ,15819    ,16396    ,5222    ,8359    ,2467    ,7843    ,7907    ,6247    ,23321    ,2968    ,9182    ,11863    ,13949    ,21422    ,14678    ,8936    ,22734    ,13767    ,27607    ,20268    ,10665    ,31900    ,22885    ,23307    ,18013    ,21433    ,96424    ,34357    ,18276    ,19958    ,21231    ,20801    ,22268    ,18932    ,11617    ,27721    ,6067    ,7167    ,16255    ,3767    ,3288    ,3002    ,12721    ,8232    ,10706    ,24534    ,7644    ,11356    ,7135    ,20539    ,21345    ,21932    ,34155    ,34289    ,23878    ,20518    ,43563    ,20946    ,27858    ,26638    ,16840    ,52644    ,18237    ,13976    ,12876    ,17583    ,10564    ,21898    ,17096    ,6043    ,9700    ,34350    ,19762    ,21893    ,19141    ,13716    ,10356    ,5554    ,4774    ,6347    ,9682    ,9005    ,10751    ,14949    ,24882    ,18623    ,12564    ,11363    ,11845    ,11321    ,10762    ,10457    ,8402    ,1471    ,2446    ,4018    ,4554    ,2371    ,3554    ,2986    ,7444    ,2337    ,3794    ,4922    
2022/10/18,3630    ,13251    ,39414    ,34966    ,23672    ,13579    ,10500    ,3745    ,3054    ,13203    ,1844    ,4125    ,3880    ,9207    ,9637    ,16433    ,17278    ,5389    ,8804    ,2644    ,8302    ,8286    ,6329    ,25564    ,3091    ,9664    ,12072    ,14248    ,21830    ,15639    ,9039    ,23409    ,14706    ,29345    ,22710    ,10901    ,32733    ,23979    ,23761    ,18861    ,21613    ,99350    ,36695    ,18767    ,20964    ,23131    ,22822    ,23968    ,20671    ,12010    ,28415    ,6410    ,7587    ,17534    ,4129    ,3354    ,3022    ,13414    ,8936    ,11400    ,26091    ,8018    ,11749    ,7339    ,21115    ,22429    ,22986    ,34548    ,35619    ,24724    ,21545    ,46452    ,22274    ,29120    ,28875    ,17791    ,55239    ,19412    ,14835    ,13192    ,18880    ,11218    ,23978    ,17673    ,6523    ,10256    ,35627    ,20471    ,22972    ,20372    ,14194    ,10742    ,5582    ,4762    ,6416    ,9980    ,9299    ,11040    ,15943    ,25337    ,20478    ,12830    ,11764    ,11940    ,11326    ,11229    ,10569    ,8518    ,1500    ,2388    ,4044    ,4433    ,2531    ,3548    ,3030    ,7392    ,2362    ,3768    ,4917    
2022/10/19,3818    ,13202    ,39005    ,35204    ,23529    ,13217    ,10270    ,3564    ,2929    ,13032    ,1915    ,4117    ,4365    ,9110    ,10092    ,16281    ,17091    ,5353    ,8674    ,2763    ,8126    ,8142    ,5968    ,28709    ,2994    ,10027    ,12264    ,14315    ,22324    ,15610    ,9043    ,24305    ,14553    ,29017    ,23076    ,10612    ,32326    ,23759    ,23441    ,18711    ,21659    ,101926    ,38153    ,19021    ,21094    ,23558    ,23988    ,24316    ,20783    ,12050    ,29151    ,6268    ,7578    ,18184    ,4319    ,3469    ,3140    ,13666    ,9081    ,11942    ,28050    ,8089    ,12037    ,7545    ,21372    ,22316    ,23352    ,34991    ,35493    ,25211    ,22438    ,48135    ,22619    ,28928    ,29208    ,18335    ,55936    ,19116    ,14447    ,13333    ,19296    ,11707    ,23777    ,17725    ,6871    ,10492    ,35321    ,19957    ,22646    ,20719    ,13555    ,10649    ,5612    ,4542    ,6610    ,9853    ,9284    ,10976    ,15604    ,25714    ,20348    ,12718    ,11862    ,11950    ,11434    ,11047    ,10692    ,8476    ,1473    ,2326    ,3888    ,4519    ,2436    ,3567    ,3023    ,7469    ,2332    ,3800    ,4881    
2022/10/20,3801    ,13251    ,39177    ,35838    ,23758    ,13373    ,10271    ,3706    ,2965    ,12999    ,1977    ,4038    ,4772    ,9299    ,10544    ,16340    ,16969    ,5481    ,8759    ,2981    ,8240    ,8457    ,5936    ,29160    ,3037    ,10264    ,12108    ,14295    ,21876    ,15504    ,8911    ,24160    ,14832    ,29033    ,22473    ,10705    ,32420    ,23897    ,23765    ,18674    ,21519    ,106530    ,38658    ,18851    ,21279    ,24277    ,24355    ,24757    ,21617    ,12100    ,28799    ,6454    ,7606    ,18071    ,4497    ,3466    ,3060    ,13670    ,9076    ,12176    ,28847    ,8108    ,12351    ,7521    ,21463    ,22082    ,23576    ,36441    ,35993    ,25204    ,22662    ,48029    ,22734    ,29521    ,29745    ,18181    ,61135    ,19034    ,14681    ,13655    ,20079    ,12028    ,26237    ,18067    ,7317    ,10868    ,35382    ,20373    ,22562    ,20440    ,13876    ,10598    ,5756    ,4600    ,6663    ,9857    ,9113    ,10880    ,15380    ,25872    ,20735    ,12855    ,12070    ,11913    ,11354    ,10988    ,10606    ,8682    ,1551    ,2495    ,3928    ,4513    ,2520    ,3520    ,3024    ,7764    ,2341    ,3952    ,4934    
